src,atom_id1,tgt,atom_id2,weight,x,y,z,isMasked
0,Y1,1,Fe1,0.5,0.0,0.0,-0.5,1
0,Y1,2,Mn2,0.5,0.0,-0.5,0.0,1
0,Y1,3,Mn3,0.5,-0.5,0.0,0.0,1
0,Y1,4,Mn4,0.5,0.0,0.5,0.0,1
0,Y1,5,Mn5,0.5,0.5,0.0,0.0,1
0,Y1,6,Mn6,0.5,0.0,0.0,0.5,1
1,Fe1,0,Y1,0.5,0.0,0.0,0.5,1
1,Fe1,2,Mn2,0.707107,0.0,-0.5,0.5,1
1,Fe1,3,Mn3,0.707107,-0.5,0.0,0.5,1
1,Fe1,4,Mn4,0.707107,0.0,0.5,0.5,1
1,Fe1,5,Mn5,0.707107,0.5,0.0,0.5,1
1,Fe1,6,Mn6,1.0,0.0,0.0,1.0,1
2,Mn2,0,Y1,0.5,0.0,0.5,0.0,0
2,Mn2,1,Fe1,0.707107,0.0,0.5,-0.5,0
2,Mn2,3,Mn3,0.707107,-0.5,0.5,0.0,0
2,Mn2,4,Mn4,1.0,0.0,1.0,0.0,0
2,Mn2,5,Mn5,0.707107,0.5,0.5,0.0,0
2,Mn2,6,Mn6,0.707107,0.0,0.5,0.5,0
3,Mn3,0,Y1,0.5,0.5,0.0,0.0,0
3,Mn3,1,Fe1,0.707107,0.5,0.0,-0.5,0
3,Mn3,2,Mn2,0.707107,0.5,-0.5,0.0,0
3,Mn3,4,Mn4,0.707107,0.5,0.5,0.0,0
3,Mn3,5,Mn5,1.0,1.0,0.0,0.0,0
3,Mn3,6,Mn6,0.707107,0.5,0.0,0.5,0
4,Mn4,0,Y1,0.5,0.0,-0.5,0.0,0
4,Mn4,1,Fe1,0.707107,0.0,-0.5,-0.5,0
4,Mn4,2,Mn2,1.0,0.0,-1.0,0.0,0
4,Mn4,3,Mn3,0.707107,-0.5,-0.5,0.0,0
4,Mn4,5,Mn5,0.707107,0.5,-0.5,0.0,0
4,Mn4,6,Mn6,0.707107,0.0,-0.5,0.5,0
5,Mn5,0,Y1,0.5,-0.5,0.0,0.0,0
5,Mn5,1,Fe1,0.707107,-0.5,0.0,-0.5,0
5,Mn5,2,Mn2,0.707107,-0.5,-0.5,0.0,0
5,Mn5,3,Mn3,1.0,-1.0,0.0,0.0,0
5,Mn5,4,Mn4,0.707107,-0.5,0.5,0.0,0
5,Mn5,6,Mn6,0.707107,-0.5,0.0,0.5,0
6,Mn6,0,Y1,0.5,0.0,0.0,-0.5,0
6,Mn6,1,Fe1,1.0,0.0,0.0,-1.0,0
6,Mn6,2,Mn2,0.707107,0.0,-0.5,-0.5,0
6,Mn6,3,Mn3,0.707107,-0.5,0.0,-0.5,0
6,Mn6,4,Mn4,0.707107,0.0,0.5,-0.5,0
6,Mn6,5,Mn5,0.707107,0.5,0.0,-0.5,0
